% 1. Title: 2008 BJCP Style Guidelines
%
% 2. Source Information:
%   (a) Source: Beer Judge Certification Program (BJCP) Style Guidelines for Beer, Mead and Cider - 2008 Revision of the 2004 Guidelines
%   (b) Author: Luke Dodge (luke@brewuppy.net)
%
@RELATION bjcp-2008

@ATTRIBUTE code string
@ATTRIBUTE category {"LIGHT LAGER", "PILSNER", "EUROPEAN AMBER LAGER", "DARK LAGER", "BOCK", "LIGHT HYBRID BEER", "AMBER HYBRID BEER", "ENGLISH PALE ALE", "SCOTTISH AND IRISH ALE", "AMERICAN ALE", "ENGLISH BROWN ALE", "PORTER", "STOUT", "INDIA PALE ALE (IPA)", "GERMAN WHEAT AND RYE BEER", "BELGIAN AND FRENCH ALE", "SOUR ALE", "BELGIAN STRONG ALE", "STRONG ALE", "FRUIT BEER", "SPICE/HERB/VEGETABLE BEER", "SMOKE-FLAVORED/WOOD-AGED BEER", "SPECIALTY BEER"}
@ATTRIBUTE subcategory string
@ATTRIBUTE ibu_min real
@ATTRIBUTE ibu_max real
@ATTRIBUTE srm_min real
@ATTRIBUTE srm_max real
@ATTRIBUTE og_min real
@ATTRIBUTE og_max real
@ATTRIBUTE fg_min real
@ATTRIBUTE fg_max real
@ATTRIBUTE abv_min real
@ATTRIBUTE abv_max real

@DATA
"1A","LIGHT LAGER","Lite American Lager",8,12,2,3,1.028,1.04,0.998,1.008,2.8,4.2
"1B","LIGHT LAGER","Standard American Lager",8,15,2,4,1.04,1.05,1.004,1.01,4.2,5.2
"1C","LIGHT LAGER","Premium American Lager",15,25,2,6,1.046,1.056,1.008,1.012,4.6,6
"1D","LIGHT LAGER","Munich Helles",16,22,3,5,1.045,1.051,1.008,1.012,4.7,5.4
"1E","LIGHT LAGER","Dortmunder Export",23,30,4,6,1.048,1.056,1.01,1.015,4.8,6
"2A","PILSNER","German Pilsner (Pils)",25,45,2,5,1.044,1.05,1.008,1.013,4.4,5.2
"2B","PILSNER","Bohemian Pilsener",35,45,3.5,6,1.044,1.056,1.013,1.017,4.2,5.4
"2C","PILSNER","Classic American Pilsner",25,40,3,6,1.044,1.06,1.01,1.015,4.5,6
"3A","EUROPEAN AMBER LAGER","Vienna Lager",18,30,10,16,1.046,1.052,1.01,1.014,4.5,5.5
"3B","EUROPEAN AMBER LAGER","Oktoberfest/Märzen",20,28,7,14,1.05,1.057,1.012,1.016,4.8,5.7
"4A","DARK LAGER","Dark American Lager",8,20,14,22,1.044,1.056,1.008,1.012,4.2,6
"4B","DARK LAGER","Munich Dunkel",18,28,14,28,1.048,1.056,1.01,1.016,4.5,5.6
"4C","DARK LAGER","Schwarzbier (Black Beer)",22,32,17,30,1.046,1.052,1.01,1.016,4.4,5.4
"5A","BOCK","Maibock/Helles Bock",23,35,6,11,1.064,1.072,1.011,1.018,6.3,7.4
"5B","BOCK","Traditional Bock",20,27,14,22,1.064,1.072,1.013,1.019,6.3,7.2
"5C","BOCK","Doppelbock",16,26,6,25,1.072,1.112,1.016,1.024,7,10
"5D","BOCK","Eisbock",25,35,18,30,1.078,1.12,1.02,1.035,9,14
"6A","LIGHT HYBRID BEER","Cream Ale",15,20,2.5,5,1.042,1.055,1.006,1.012,4.2,5.6
"6B","LIGHT HYBRID BEER","Blonde Ale",15,28,3,6,1.038,1.054,1.008,1.013,3.8,5.5
"6C","LIGHT HYBRID BEER","Kölsch",20,30,3.5,5,1.044,1.05,1.007,1.011,4.4,5.2
"6D","LIGHT HYBRID BEER","American Wheat or Rye Beer",15,30,3,6,1.04,1.055,1.008,1.013,4,5.5
"7A","AMBER HYBRID BEER","Northern German Altbier",25,40,13,19,1.046,1.054,1.01,1.015,4.5,5.2
"7B","AMBER HYBRID BEER","California Common Beer",30,45,10,14,1.048,1.054,1.011,1.014,4.5,5.5
"7C","AMBER HYBRID BEER","Düsseldorf Altbier",35,50,11,17,1.046,1.054,1.01,1.015,4.5,5.2
